Club,Year,Revenue
Chelsea,2014,420
Chelsea,2013,387.9
Chelsea,2012,303.4
Chelsea,2011,322.6
Chelsea,2010,249.8
Chelsea,2009,255.9
Chelsea,2008,242.3
Chelsea,2007,268.9
Chelsea,2006,284.4
Chelsea,2005,221
Chelsea,2004,220.8
Chelsea,2003,217.5
Chelsea,2002,134.1
Chelsea,2001,143.4
