Club,Year,Revenue
Manchester United,2014,519.5
Manchester United,2013,518
Manchester United,2012,423.8
Manchester United,2011,395.9
Manchester United,2010,367
Manchester United,2009,349.8
Manchester United,2008,327
Manchester United,2007,324.8
Manchester United,2006,315.4
Manchester United,2005,242.6
Manchester United,2004,246.4
Manchester United,2003,259.2
Manchester United,2002,251.2
Manchester United,2001,229.5
