Club,Year,Revenue
Liverpool,2014,391.8
Liverpool,2013,305.9
Liverpool,2012,240.6
Liverpool,2011,233.2
Liverpool,2010,203.3
Liverpool,2009,225.3
Liverpool,2008,217.0
Liverpool,2007,210.9
Liverpool,2006,202.1
Liverpool,2005,176.0
Liverpool,2004,181.2
Liverpool,2003,140.2
Liverpool,2002,149.3
Liverpool,2001,154.6
