Club,Year,Revenue
Arsenal,2001,141.4
Arsenal,2002,150.1
Arsenal,2003,174.1
Arsenal,2004,171.3
Arsenal,2005,177.4
Arsenal,2006,264.2
Arsenal,2007,264.4
Arsenal,2008,263
Arsenal,2009,274.1
Arsenal,2010,251.5
Arsenal,2011,290.3
Arsenal,2012,284.3
Arsenal,2013,359.3
Arsenal,2014,435.5
