Sheyi Ojo,M,2,2,0,1
Lucas,M,19,5,0,1
Jordan Rossiter,M,0,1,0,0
Joao Carlos Teixeira,M,0,1,0,0
Roberto Firmino,F,23,6,9,7
Christian Benteke,F,12,13,7,2
Danny Ings,F,3,2,2,0
Divock Origi,F,7,9,5,1
Jerome Sinclair,F,0,0,0,0
Daniel Sturridge,F,9,3,8,1
Wilfredo Caballero,G,3,1,0,0
Joe Hart,G,32,0,0,0
Richard Wright,G,0,0,0,0
Oluwatosin Adarabioyo,D,--,--,--,--
Gal Clichy,D,10,2,0,1
Martn Demichelis,D,10,9,0,0
Angelio,D,0,0,0,0
Cameron Humphreys,D,0,0,0,0
Aleksandar Kolarov,D,24,4,3,3
Vincent Kompany,D,13,1,2,0
Eliaquim Mangala,D,20,0,0,0
Nicols Otamendi,D,27,0,1,0
Bacary Sagna,D,25,1,0,3
Pablo Zabaleta,D,11,1,0,1
Brandon Barker,M,0,0,0,0
Bersant Celina,M,0,1,0,1
Kevin De Bruyne,M,20,3,6,9
Fabian Delph,M,7,9,2,0
Aleix Garci Serrano,M,0,0,0,0
Manu Garca,M,0,1,0,0
George Glendon,M,--,--,--,--
James Horsfield,M,0,0,0,0
Samir Nasri,M,3,7,2,2
Jess Navas,M,22,9,0,6
Fernando,M,15,7,2,0
Fernandinho,M,28,2,2,1
David Silva,M,23,2,2,11
Yaya Tour,M,28,2,6,5
Sergio Agero,F,27,1,23,2
Wilfried Bony,F,12,12,4,3
David Faupala,F,--,--,--,--
Kelechi Iheanacho,F,4,19,5,1
Raheem Sterling,F,22,7,6,2
Joel Castro,G,--,--,0,0
David De Gea,G,30,0,0,0
Sam Johnstone,G,0,0,0,0
Sergio Romero,G,4,0,0,0
Daley Blind,D,32,0,1,1
Cameron Borthwick-Jackson,D,5,3,0,1
Matteo Darmian,D,23,4,1,0
Timothy Fosu-Mensah,D,2,5,0,1
Phil Jones,D,6,4,0,0
Donald Love,D,0,1,0,0
Patrick McNair,D,3,5,0,0
Marcos Rojo,D,12,1,0,1
Luke Shaw,D,5,0,0,1
Chris Smalling,D,31,0,0,1
Axel Tuanzebe,D,0,0,0,0
Antonio Valencia,D,4,6,0,1
Gullermo Varela,D,3,1,0,0
Ro-Shaun Williams,D,--,--,--,--
Michael Carrick,M,19,5,0,0
Marouane Fellaini,M,11,6,1,0
Sean Goss,M,0,0,0,0
Ander Herrera,M,15,8,3,2
Adnan Januzaj,M,2,2,1,0
Jesse Lingard,M,16,5,4,1
Juan Mata,M,31,3,5,4
Andreas Pereira,M,0,4,0,0
Regan Poole,M,--,--,--,--
Joe Riley,M,0,0,0,0
Joe Rothwell,M,0,0,0,0
Morgan Schneiderlin,M,24,3,1,0
Bastian Schweinsteiger,M,13,5,1,0
James Weir,M,0,1,0,0
Ashley Young,M,11,6,0,2
Memphis Depay,F,15,11,2,0
William Keane,F,0,1,0,0
Anthony Martial,F,26,2,8,3
Marcus Rashford,F,8,0,4,1
Wayne Rooney,F,23,1,7,4
Karl Darlow,G,6,0,0,0
Robert Elliot,G,21,0,0,0
Tim Krul,G,8,0,0,0
Freddie Woodman,G,0,0,0,0
Fabricio Coloccini,D,26,0,1,0
Paul Dummett,D,20,0,1,0
Massadio Haidara,D,6,1,0,0
Daryl Janmaat,D,31,0,1,3
Jamaal Lascelles,D,8,8,2,0
Kevin Mbabu,D,2,1,0,0
Chancel Mbemba,D,30,0,0,0
Jamie Sterry,D,0,0,0,0
Steven Taylor,D,8,1,0,0
Callum Williams,D,0,0,0,0
Rolando Aarons,M,3,6,0,0
Vurnon Anita,M,22,4,1,3
Jack Colback,M,25,1,1,1
Siem De Jong,M,3,14,0,1
Liam Gibson,M,0,0,0,0
Yoan Gouffran,M,2,6,0,0
