Artur Boruc,G,29,0,0,0
Cody Cropper,G,0,0,0,0
Kelvin Davis,G,2,0,0,0
Paulo Gazzaniga,G,7,1,0,0
Nathaniel Clyne,D,20,5,0,4
Jose Fonte,D,35,1,3,0
Jos Hooiveld,D,3,0,0,0
Dejan Lovren,D,31,0,2,1
Jason McCarthy,D,--,--,--,--
Luke Shaw,D,35,0,0,1
Matt Targett,D,0,0,0,0
Maya Yoshida,D,7,1,1,0
Calum Chambers,M,18,4,0,0
Steven Davis,M,28,6,2,7
Guly,M,0,9,0,0
Lloyd Isgrove,M,0,0,0,0
Adam Lallana,M,37,1,9,6
Sam McQueen,M,--,--,--,--
Gastn Ramrez,M,3,15,1,3
Harrison Reed,M,0,4,0,0
Andy Robinson,M,--,--,--,--
Omar Rowe,M,--,--,--,--
Morgan Schneiderlin,M,31,2,2,1
Victor Wanyama,M,19,4,0,0
James Ward-Prowse,M,16,18,0,2
Lee Barnard,F,--,--,--,--
Sam Gallagher,F,3,15,1,0
Rickie Lambert,F,31,6,13,10
Pablo Osvaldo,F,9,4,3,0
Billy Sharp,F,--,--,--,--
Jake Sinclair,F,--,--,--,--
