Name,GoalsFor,GoalsAgainst,Diff,Pts
Manchester United,86,43,+43,89
Manchester City,66,34,+32,78
Chelsea,75,39,+36,75
Arsenal,72,37,+35,73
Tottenham,66,46,+20,72
Everton,55,40,+15,63
Liverpool,71,43,+28,61
West Brom,53,57,-4,49
Swansea,47,51,-4,46
West Ham,45,53,-8,46
Norwich,41,58,-17,44
Fulham,50,60,-10,43
Stoke,34,45,-11,42
Southampton,49,60,-11,41
Aston Villa,47,69,-22,41
Newcastle,45,68,-23,41
Sunderland,41,54,-13,39
Wigan,47,73,-26,36
Reading,43,73,-30,28
QPR,30,60,-30,25
