Name,GoalsFor,GoalsAgainst,Diff,Pts
Manchester City,93,29,+64,89
Manchester United,89,33,+56,89
Arsenal,74,49,+25,70
Tottenham,66,41,+25,69
Newcastle,56,51,+5,65
Chelsea,65,46,+19,64
Everton,50,40,+10,56
Liverpool,47,40,+7,52
Fulham,48,51,-3,52
West Brom,45,52,-7,47
Swansea,44,51,-7,47
Norwich,52,66,-14,47
Sunderland,45,46,-1,45
Stoke,36,53,-17,45
Wigan,42,62,-20,43
Aston Villa,37,53,-16,38
QPR,43,66,-23,37
Bolton,46,77,-31,36
Blackburn,48,78,-30,31
Wolves,40,82,-42,25
