Name,GoalsFor,GoalsAgainst,Diff,Pts
Manchester United,68,24,+44,90
Liverpool,77,27,+50,86
Chelsea,68,24,+44,83
Arsenal,68,37,+31,72
Everton,55,37,+18,63
Aston Villa,54,48,+6,62
Fulham,39,34,+5,53
Tottenham,45,45,51
West Ham,42,45,-3,51
Manchester City,58,50,+8,50
Wigan,34,45,-11,45
Stoke,38,55,-17,45
Bolton,41,53,-12,41
Portsmouth,38,57,-19,41
Blackburn,40,60,-20,41
Sunderland,34,54,-20,36
Hull,39,64,-25,35
Newcastle,40,59,-19,34
Middlesbrough,28,57,-29,32
West Brom,36,67,-31,32
