Name,GoalsFor,GoalsAgainst,Diff,Pts
Arsenal,73,26,+47,90
Chelsea,67,30,+37,79
Manchester United,64,35,+29,75
Liverpool,55,37,+18,60
Newcastle,52,40,+12,56
Aston Villa,48,44,+4,56
Charlton,51,51,53
Bolton,48,56,-8,53
Fulham,52,46,+6,52
Birmingham,43,48,-5,50
Middlesbrough,44,52,-8,48
Southampton,44,45,-1,47
Portsmouth,47,54,-7,45
Tottenham,47,57,-10,45
Blackburn,51,59,-8,44
Manchester City,55,54,+1,41
Everton,45,57,-12,39
Leicester,48,65,-17,33
Leeds,40,79,-39,33
Wolves,38,77,-39,33
