Name,Pos,Apps,Goal,YearIn,YearOut,FeeIn,FeeOut
Florent Sinama Pongolle,F,37,4,2003,2006,2000000,2700000
Harry Kewell,M,93,12,2003,2008,5000000,NA
Jamie Carragher,D,314,1,1996,2013,NA,NA
John Welsh,D,4,0,2002,2005,NA,NA
Michael Owen,F,29,16,1996,2004,NA,8000000
Patrice Luzi Bernardi,G,1,0,2003,2005,0,NA
Steve Finnan,D,145,1,2003,2008,3500000,1000000
Steven Gerrard,M,367,104,1998,2015,NA,NA
Anthony Le Tallec,F,17,0,2002,2008,3000000,NA
Bruno Cheyrou,M,12,2,2002,2005,3700000,NA
Salif Diao,M,11,0,2002,2006,5000000,NA
Chris Kirkland,G,5,0,2001,2006,6000000,3000000
Jerzy Dudek,G,60,0,2001,2007,4850000,NA
John Arne Riise,M,158,8,2001,2008,4600000,4000000
Milan Baros,F,39,10,2001,2005,3600000,6500000
Igor Biscan,M,28,0,2000,2005,5500000,NA
Dietmar Hamann,M,54,2,1999,2006,8000000,400000
Stephane Henchoz,D,18,0,1999,2004,3500000,NA
Vladimir Smicer,M,20,3,1999,2004,3750000,NA
Djimi Traore,D,48,0,1998,2006,550000,2000000
Sami Hyypia,D,155,10,1998,2009,3000000,NA
Danny Murphy,M,30,5,1996,2004,3000000,2500000
