Robert Green,G,26,0,0,0
James Walker,G,0,0,0,0
Richard Wright,G,--,--,0,0
James Collins,D,16,0,0,0
Christian Dailly,D,10,4,0,0
Calum Davenport,D,5,1,0,1
Julien Faubert,D,--,--,--,--
Anton Ferdinand,D,31,0,0,1
Daniel Gabbidon,D,18,0,0,0
George McCartney,D,16,6,0,2
Lucas Neill,D,11,0,0,2
John Pantsil,D,3,2,0,0
Jonathan Spector,D,17,8,0,0
Tony Stokes,D,--,--,--,--
Matthew Upson,D,2,0,0,0
Lee Bowyer,M,18,2,0,3
Matthew Etherington,M,24,3,0,2
Freddie Ljungberg,M,--,--,--,--
Hayden Mullins,M,21,9,2,0
Mark Noble,M,10,0,2,0
Scott Parker,M,--,--,--,--
Nigel Quashie,M,7,0,0,0
Dean Ashton,F,--,--,--,--
Craig Bellamy,F,--,--,--,--
Kepa,F,1,7,1,0
Luis Boa Morte,F,8,6,1,2
Carlton Cole,F,5,12,2,1
Carlos Tevez,F,19,7,7,5
Bobby Zamora,F,27,5,11,4
