Robert Green,G,38,0,0,0
Peter Kurucz,G,0,0,0,0
Marek Stech,G,0,0,0,0
James Collins,D,17,1,0,0
Calum Davenport,D,--,--,--,--
Holmar Orn Eyjolffson,D,0,0,0,0
Daniel Gabbidon,D,--,--,--,--
Herita Nkongolo Ilunga,D,35,0,0,2
Jack Lampe,D,--,--,--,--
Bondz Ngala,D,0,0,0,0
Jonathan Spector,D,4,5,0,1
Jordan Spence,D,0,0,0,0
James Tomkins,D,11,1,1,0
Matthew Upson,D,37,0,0,2
Valon Behrami,M,24,0,1,0
Luis Boa Morte,M,13,14,0,3
Jack Collison,M,16,4,3,1
Kieron Courtney Dyer,M,1,6,0,1
Julien Faubert,M,15,5,0,2
Georg Grasser,M,--,--,--,--
Luis Jimenez,M,--,--,--,--
Mark Noble,M,28,1,3,3
Scott Parker,M,28,0,1,3
Josh Payne,M,0,2,0,0
Nigel Quashie,M,--,--,--,--
Junior Stanislas,M,7,2,2,0
Dean Ashton,F,4,0,2,0
Balint Bajner,F,--,--,--,--
Carlton Cole,F,26,1,10,3
Terry Dixon,F,--,--,--,--
Zavon Hines,F,0,0,0,0
Savio Nsereko,F,1,9,0,0
Danny Uchechi,F,--,--,--,--
