Rafael Van der Vaart,M,61,24,2010,NA,NA,10300000
Reto Ziegler,D,23,1,2004,NA,NA,NA
Ricardo Rocha,D,14,0,2006,NA,3300000,NA
Robbie Keane,F,201,78,2003,NA,7000000,19000000
Roberto Soldado,F,52,7,2013,NA,25800000,10000000
Rohan Ricketts,M,24,1,2003,NA,NA,NA
Roman Pavlyuchenko,F,44,10,2008,NA,14000000,8000000
Ryan Mason,M,50,2,2014,NA,NA,NA
Ryan Nelsen,D,6,0,2011,NA,NA,NA
Sandro,M,81,3,2010,NA,NA,6000000
Scott Parker,M,50,0,2011,NA,6000000,2000000
Sean Davis,M,15,0,2004,NA,NA,2500000
Sebastien Bassong,D,40,2,2009,NA,8000000,4000000
Simon Davies,M,17,2,2003,NA,NA,700000
Son Heung-Min,M,25,2,2015,NA,NA,NA
Steed Malbranque,M,62,6,2006,NA,NA,7000000
Stephen Carr,D,32,1,2003,NA,NA,2000000
Stephen Kelly,D,28,2,2003,NA,NA,750000
Steven Caulker,D,18,2,2012,NA,NA,8000000
Steven Pienaar,M,26,1,2010,NA,3000000,4500000
Teemu Tainio,M,61,3,2005,NA,NA,NA
Thomas Carroll,M,25,1,2012,NA,NA,NA
Toby Alderweireld,D,35,4,2015,NA,11500000,NA
Tom Huddlestone,M,144,8,2005,NA,2500000,5250000
Vedran Corluka,D,81,2,2008,NA,8500000,5500000
Vlad Chiriches,D,27,0,2013,NA,8500000,NA
William Gallas,D,61,1,2010,NA,NA,NA
Wilson Palacios,M,86,1,2008,NA,12000000,8000000
Younes Kaboul,D,99,6,2007,NA,NA,5000000
