Hugo Lloris,G,34,0,0,0
Michel Vorm,G,1,0,0,0
Toby Alderweireld,D,35,0,4,2
Cameron Carter-Ben Davies,D,13,2,0,2
Danny Rose,D,22,0,1,3
Kieran Trippier,D,5,1,1,1
Jan Vertonghen,D,26,0,0,0
Kyle Walker,D,30,0,1,3
Kyle Walker-Kevin Wimmer,D,9,1,0,0
Dele Alli,M,28,5,10,9
Nabil Bentaleb,M,2,3,0,0
Thomas Carroll,M,4,14,1,0
Nacer Chadli,M,10,16,3,2
Mousa Dembl,M,26,2,3,1
Eric Dier,M,34,0,3,1
Christian Eriksen,M,30,2,6,12
Son Heung-Min,M,10,15,2,1
Erik Lamela,M,25,6,4,7
Ryan Mason,M,6,13,1,0
Josh Onomah,M,0,7,0,0
Harry Kane,F,35,0,24,1
Clinton Njie,F,0,7,0,1
