David Bentley,15000000,In,2008
Charlie Daniels,NA,Out,2008
John Bostock,700000,In,2008
Hossam Ghaly,NA,Out,2008
Cesar Sanchez,NA,Out,2008
Teemu Tainio,NA,Out,2008
Giovani dos Santos,4700000,In,2007
Radek Cerny,NA,Out,2007
Luka Modric,16600000,In,2007
Jermain Defoe,7500000,Out,2007
Gilberto,2000000,In,2007
Wayne Routledge,1250000,Out,2007
Alan Hutton,9000000,In,2007
Lee Barnard,NA,Out,2007
Jonathan Woodgate,8000000,In,2007
Philip Ifil,NA,Out,2007
Chris Gunter,2000000,In,2007
Danny Murphy,NA,Out,2007
Kevin-Prince Boateng,5400000,In,2007
Hossam Mido,6000000,Out,2007
Danny Rose,1000000,In,2007
Charlie Daniels,NA,Out,2007
Emil Hallfredsson,NA,Out,2007
Younes Kaboul,NA,In,2006
Mark Yeates,NA,Out,2006
Darren Bent,16500000,In,2006
Reto Ziegler,NA,Out,2006
Adel Taarabt,3000000,In,2006
Rob Burch,NA,Out,2006
Gareth Bale,6000000,In,2006
Charlie Lee,NA,Out,2006
Ricardo Rocha,3300000,In,2006
Stuart Lewis,NA,Out,2006
Ben Alnwick,900000,In,2006
Edgar Davids,NA,Out,2006
Pascal Chimbonda,4500000,In,2006
Calum Davenport,3000000,Out,2006
Sted Malbranque,2000000,In,2006
Marton Fulop,500000,Out,2006
Hossam Mido,4500000,In,2005
Andy Reid,3000000,Out,2006
Didier Zokora,8200000,In,2006
Michael Carrick,18600000,Out,2006
Dean Marney,NA,Out,2006
Dorian Dervitte,NA,In,2005
Stephen Kelly,750000,Out,2005
Dimitar Berbatov,10900000,In,2005
Claude Seanla,NA,Out,2005
Benoit Assou-Ekotto,3500000,In,2005
Johnnie Jackson,NA,Out,2005
Danny Murphy,2000000,In,2005
Mounir El Hamdaoui,NA,Out,2005
Hossam Ghaly,3000000,In,2005
Grzegorz Rasiak,2000000,Out,2005
Lee Young-Pyo,NA,In,2005
Michael Brown,2000000,Out,2005
Grzegorz Rasiak,2000000,In,2005
Noe Pamarot,2500000,Out,2005
Jermaine Jenas,7000000,In,2005
Sean Davis,2500000,Out,2005
Edgar Davids,NA,In,2005
Pedro Mendes,2500000,Out,2005
Radek Cerny,NA,In,2005
Erik Edman,NA,Out,2005
Mounir El Hamdaoui,NA,In,2005
Frederic Kanoute,4400000,Out,2005
Teemu Tainio,NA,In,2005
Mark Wright,NA,Out,2005
Aaron Lennon,1000000,In,2005
Thimothee Atouba,NA,Out,2005
Tom Huddlestone,2500000,In,2005
Nicky Eyre,NA,Out,2005
Wayne Routledge,2500000,In,2005
Mark Hughes,NA,Out,2005
Paul Stalteri,NA,In,2004
Simon Davies,3500000,Out,2004
Andy Reid,4000000,In,2004
Rohan Ricketts,NA,Out,2004
Michael Dawson,4000000,In,2004
Jamie Slabber,NA,Out,2004
Emil Hallfredsson,NA,In,2004
Kasey Keller,500000,Out,2004
Reto Ziegler,NA,In,2004
Jamie Redknapp,NA,Out,2004
Calum Davenport,1300000,In,2004
Mauricio Taricco,NA,Out,2004
Noe Pamarot,1750000,In,2004
Gary Doherty,500000,Out,2004
Michael Carrick,2750000,In,2004
Stephen Carr,2000000,Out,2004
Thimothee Atouba,NA,In,2004
Darren Anderton,NA,Out,2004
Edson Silva Sousa,NA,In,2004
Lars Hirschfeld,NA,Out,2004
Noureddine Naybet,700000,In,2004
Sergei Rebrov,NA,Out,2004
Erik Edman,NA,In,2004
Milenko Acimovic,NA,Out,2004
Pedro Mendes,2000000,In,2004
Helder Postiga,5000000,Out,2004
Marton Fulop,200000,In,2003
Christian Ziege,NA,Out,2003
Sean Davis,NA,In,2003
Shwan Jalal,NA,Out,2003
Paul Robinson,1500000,In,2003
David Hicks,NA,Out,2003
Jermain Defoe,7000000,In,2003
Bobby Zamora,NA,Out,2003
Michael Brown,500000,In,2003
Jonathan Blondel,NA,Out,2003
Mbulelo Mabizela,NA,In,2003
Chris Perry,NA,Out,2003
Frederic Kanoute,3500000,In,2003
Neil Sullivan,NA,Out,2003
Bobby Zamora,1500000,In,2003
Matthew Etherington,NA,Out,2003
Steffen Iversen,NA,Out,2003
Steffen Freund,NA,Out,2003
John Sutton,NA,Out,2003
Ben Thatcher,NA,Out,2003
Teddy Sheringham,NA,Out,2003
Helder Postiga,6250000,In,2002
Alton Thelwell,NA,Out,2002
Robbie Keane,7000000,In,2002
Mario Noto,NA,Out,2002
