Shay Given,G,38,0,0,0
Steve Harper,G,0,0,0,0
Celestine Babayaro,D,26,2,0,1
Jean Alain Boumsong,D,30,3,0,0
Titus Bramble,D,21,3,2,1
Stephen Carr,D,19,0,0,1
Kris Gate,D,0,0,0,0
Paul Huntington,D,--,--,--,--
Craig Moore,D,8,0,0,0
Peter Ramage,D,23,0,0,1
Nicky Butt,M,--,--,--,--
Lee Clark,M,8,14,1,1
Damien Duff,M,--,--,--,--
Kieron Courtney Dyer,M,4,7,0,1
Belozoglu Emre,M,19,1,2,4
Amdy Faye,M,14,8,0,2
James Milner,M,1,2,0,0
Charles N'Zogbia,M,27,5,5,6
Alan O'Brien,M,0,3,0,0
Scott Parker,M,26,0,1,1
Matthew Pattison,M,2,1,0,0
 Nolberto Solano,M,27,2,6,2
Steven Taylor,M,12,0,0,0
Shola Ameobi,F,25,5,9,2
Albert Martos Luque,F,6,8,1,0
Michael Owen,F,10,1,7,1
