Fraser Forster,G,0,0,0,0
Shay Given,G,19,0,0,0
Steve Harper,G,19,2,0,0
Habib Beye,D,27,2,1,2
Claudio Cacapa,D,16,3,1,0
Stephen Carr,D,9,2,0,0
Lamine Diatta,D,0,2,0,0
David Edgar,D,2,3,0,0
Peter Ramage,D,0,3,0,1
Jos Enrique,D,18,5,0,1
Steven Taylor,D,29,2,1,1
Ben Tozer,D,0,0,0,0
Joey Barton,M,20,3,1,2
Nicky Butt,M,35,0,3,1
Damien Duff,M,12,4,0,0
Abdoulaye Faye,M,21,2,1,0
Geremi,M,24,3,2,5
Kazenga LuaLua,M,0,2,0,0
James Milner,M,25,4,2,2
Charles N'Zogbia,M,27,5,3,5
James Troisi,M,0,0,0,0
Andy Carroll,F,1,3,0,1
Obafemi Martins,F,23,8,9,3
Michael Owen,F,24,5,11,1
Alan Smith,F,26,7,0,2
Mark Viduka,F,19,7,7,1
