Shay Given,G,22,0,0,0
Steve Harper,G,15,3,0,0
Tim Krul,G,0,0,0,0
Celestine Babayaro,D,12,0,0,0
Stephen Carr,D,23,0,0,0
David Edgar,D,2,1,1,0
Fraser Forster,D,--,--,--,--
Paul Huntington,D,10,1,1,0
Peter Ramage,D,20,1,0,0
David Rozehnal,D,--,--,--,--
Steven Taylor,D,26,1,2,1
Joey Barton,M,--,--,--,--
Nicky Butt,M,27,4,1,0
Damien Duff,M,20,3,1,2
Kieron Courtney Dyer,M,20,2,5,2
Belozoglu Emre,M,21,3,2,2
Geremi,M,--,--,--,--
James Milner,M,31,4,3,8
Charles N'Zogbia,M,10,12,0,2
Matthew Pattison,M,2,5,0,0
 Nolberto Solano,M,25,3,2,4
James Troisi,M,0,0,0,0
Shola Ameobi,F,9,3,3,1
Andy Carroll,F,0,4,0,0
Albert Martos Luque,F,0,7,0,0
Obafemi Martins,F,32,1,11,4
Michael Owen,F,3,0,0,0
Mark Viduka,F,--,--,--,--
