Jak Alnwick,G,0,0,0,0
Robert Elliot,G,2,0,0,0
Tim Krul,G,36,0,0,0
Fabricio Coloccini,D,27,0,0,0
Mathieu Debuchy,D,28,1,1,3
Paul Dummett,D,11,7,1,0
Shane Ferguson,D,--,--,--,--
Curtis Good,D,--,--,--,--
Massadio Haidara,D,3,8,0,0
Davide Santon,D,26,1,0,0
Lubomir Satka,D,0,0,0,0
Remie Streete,D,--,--,--,--
Ryan Taylor,D,--,--,--,--
Steven Taylor,D,9,1,1,0
Michael Williamson,D,32,1,0,0
Mapou Yanga-Mbiwa,D,17,6,0,0
Mehdi Abeid,M,--,--,--,--
Romain Amalfitano,M,--,--,--,--
Vurnon Anita,M,28,6,1,1
Hatem Ben Arfa,M,13,14,3,3
Gael Bigirimana,M,0,0,0,0
Dan Gosling,M,4,4,0,0
Sylvain Marveaux,M,2,7,0,0
Conor Newton,M,--,--,--,--
Gabriel Obertan,M,0,3,0,0
Michael Richardson,M,--,--,--,--
Moussa Sissoko,M,35,0,3,6
Ismael Tiot,M,31,2,0,1
Shola Ameobi,F,14,12,2,0
Sammy Ameobi,F,4,6,0,0
Adam Armstrong,F,0,4,0,0
Adam Campbell,F,--,--,--,--
Papiss Demba Cisse,F,15,9,2,2
Yoan Gouffran,F,31,4,6,3
Loc Rmy,F,24,2,14,3
Luuk de Jong,F,8,4,0,1
