Name,GoalsFor,GoalsAgainst,Diff,Pts
Manchester United,74,34,+40,83
Arsenal,85,42,+43,78
Newcastle,63,48,+15,69
Chelsea,68,38,+30,67
Liverpool,61,41,+20,64
Blackburn,52,43,+9,60
Everton,48,49,-1,59
Southampton,43,46,-3,52
Manchester City,47,54,-7,51
Tottenham,51,62,-11,50
Middlesboro,48,44,+4,49
Charlton,45,56,-11,49
Birmingham,41,49,-8,48
Fulham,41,50,-9,48
Leeds,58,57,+1,47
Aston Villa,42,47,-5,45
Bolton,41,51,-10,44
West Ham,42,59,-17,42
West Brom,29,65,-36,26
Sunderland,21,65,-44,19
