Name,GoalsFor,GoalsAgainst,Diff,Pts
Manchester City,102,37,+65,86
Liverpool,101,50,+51,84
Chelsea,71,27,+44,82
Arsenal,68,41,+27,79
Everton,61,39,+22,72
Tottenham,55,51,+4,69
Manchester United,64,43,+21,64
Southampton,54,46,+8,56
Stoke,45,52,-7,50
Newcastle,43,59,-16,49
Crystal Palace,33,48,-15,45
Swansea,54,54,42
West Ham,40,51,-11,40
Sunderland,41,60,-19,38
Aston Villa,39,61,-22,38
Hull,38,53,-15,37
West Brom,43,59,-16,36
Norwich,28,62,-34,33
Fulham,40,85,-45,32
Cardiff,32,74,-42,30
