Name,GoalsFor,GoalsAgainst,Diff,Pts
Manchester United,83,27,+56,89
Chelsea,64,24,+40,83
Liverpool,57,27,+30,68
Arsenal,63,35,+28,68
Tottenham,57,54,+3,60
Everton,52,36,+16,58
Bolton,47,52,-5,56
Reading,52,47,+5,55
Portsmouth,45,42,+3,54
Blackburn,52,54,-2,52
Aston Villa,43,41,+2,50
Middlesbrough,44,49,-5,46
Newcastle,38,47,-9,43
Manchester City,29,44,-15,42
West Ham,35,59,-24,41
Fulham,38,60,-22,39
Wigan,37,59,-22,38
Sheffield United,32,55,-23,38
Charlton,34,60,-26,34
Watford,29,59,-30,28
