Name,GoalsFor,GoalsAgainst,Diff,Pts
Chelsea,72,22,+50,91
Manchester United,72,34,+38,83
Liverpool,57,25,+32,82
Arsenal,68,31,+37,67
Tottenham,53,38,+15,65
Blackburn,51,42,+9,63
Newcastle,47,42,+5,58
Bolton,49,41,+8,56
West Ham,52,55,-3,55
Wigan,45,52,-7,51
Everton,34,49,-15,50
Fulham,48,58,-10,48
Charlton,41,55,-14,47
Middlesbrough,48,58,-10,45
Manchester City,43,48,-5,43
Aston Villa,42,55,-13,42
Portsmouth,37,62,-25,38
Birmingham,28,50,-22,34
West Brom,31,58,-27,30
Sunderland,26,69,-43,15
