Name,GoalsFor,GoalsAgainst,Diff,Pts
Chelsea,103,32,+71,86
Manchester United,86,28,+58,85
Arsenal,83,41,+42,75
Tottenham,67,41,+26,70
Manchester City,73,45,+28,67
Aston Villa,52,39,+13,64
Liverpool,61,35,+26,63
Everton,60,49,+11,61
Birmingham,38,47,-9,50
Blackburn,41,55,-14,50
Stoke,34,48,-14,47
Fulham,39,46,-7,46
Sunderland,48,56,-8,44
Bolton,42,67,-25,39
Wolves,32,56,-24,38
Wigan,37,79,-42,36
West Ham,47,66,-19,35
Burnley,42,82,-40,30
Hull,34,75,-41,30
Portsmouth,34,66,-32,28
