Name,GoalsFor,GoalsAgainst,Diff,Pts
Manchester United,80,22,+58,87
Chelsea,65,26,+39,85
Arsenal,74,31,+43,83
Liverpool,67,28,+39,76
Everton,55,33,+22,65
Aston Villa,71,51,+20,60
Blackburn,50,48,+2,58
Portsmouth,48,40,+8,57
Manchester City,45,53,-8,55
West Ham,42,50,-8,49
Tottenham,66,61,+5,46
Newcastle,45,65,-20,43
Middlesbrough,43,53,-10,42
Wigan,34,51,-17,40
Sunderland,36,59,-23,39
Bolton,36,54,-18,37
Fulham,38,60,-22,36
Reading,41,66,-25,36
Birmingham,46,62,-16,35
Derby,20,89,-69,11
