Alan Hutton,31,0
Andreas Weimann,14,2
Barry Bannan,28,1
Brad Guzan,7,0
Charles N'Zogbia,30,2
Chris Herd,19,1
Ciaran Clark,15,1
Cuéllar,18,0
Darren Bent,22,9
Emile Heskey,28,1
Eric Lichaj,10,1
Fabian Delph,11,0
Gabriel Agbonlahor,33,5
Gary Gardner,14,0
James Collins,32,1
Jermaine Jenas,3,0
Luke Young,2,0
Marc Albrighton,26,2
Nathan Baker,8,0
Nathan Delfouneso,6,0
Richard Dunne,28,1
Robbie Keane,6,3
Samir Carruthers,3,0
Shay Given,32,0
Stephen Ireland,24,1
Stephen Warnock,35,2
Stilian Petrov,27,4
