Andreas Weimann,30,7
Ashley Westwood,30,0
Barry Bannan,24,0
Brad Guzan,36,0
Brett Holman,27,1
Charles N'Zogbia,21,2
Chris Herd,9,0
Christian Benteke,34,19
Ciaran Clark,29,1
Darren Bent,16,3
Derrick Williams,1,0
Enda Stevens,7,0
Eric Lichaj,17,0
Fabian Delph,24,0
Gabriel Agbonlahor,28,9
Gary Gardner,2,0
Joe Bennett,25,0
Jordan Bowery,10,0
Karim El Ahmadi,20,1
Marc Albrighton,9,0
Matthew Lowton,37,2
Nathan Baker,26,0
Nathan Delfouneso,1,0
Ron Vlaar,27,2
Shay Given,2,0
Simon Dawkins,4,0
Stephen Ireland,13,0
Yacouba Sylla,11,0
