Alan Hutton,30,1
Aly Cissokho,25,0
Andreas Weimann,31,3
Ashley Westwood,27,0
Brad Guzan,34,0
Carles Gil,5,0
Carlos Sánchez,28,1
Charles N'Zogbia,27,0
Christian Benteke,29,13
Ciaran Clark,25,1
Darren Bent,7,0
Fabian Delph,28,0
Gabriel Agbonlahor,34,6
Jack Grealish,17,0
Jed Steer,1,0
Joe Cole,12,1
Jores Okore,23,1
Kieran Richardson,22,0
Leandro Bacuna,19,0
Matthew Lowton,12,0
Nathan Baker,11,0
Philippe Senderos,8,0
Ron Vlaar,20,0
Rushian Hepburn-Murphy,1,0
Scott Sinclair,9,1
Shay Given,3,0
Tom Cleverley,31,3
