Tim Howard,G,12,0,0,0
Wes Brown,D,18,3,1,0
Rio Ferdinand,D,31,0,0,1
Gabriel Heinze,D,26,0,1,2
Phil Neville,D,12,7,0,0
Gary Neville,D,22,0,0,3
John O'Shea,D,16,7,2,2
Mikael Silvestre,D,33,2,2,1
Darren Fletcher,M,18,0,3,2
Quinton Fortune,M,12,5,0,0
Ryan Giggs,M,26,6,6,10
Roy Keane,M,28,3,1,2
Jose Kleberson,M,6,2,0,1
Liam Miller,M,3,5,0,0
Kieran Richardson,M,0,2,0,0
Cristiano Ronaldo,M,25,8,5,4
Paul Scholes,M,29,4,9,3
David Bellion,F,1,9,2,0
Wayne Rooney,F,24,5,11,4
Louis Saha,F,7,7,1,1
Alan Smith,F,22,9,6,4
Ruud van Nistelrooy,F,16,1,6,0
