Ben Amos,G,1,0,0,0
David De Gea,G,29,0,0,0
Anders Lindegaard,G,8,0,0,0
Rafael,D,10,2,0,4
Jonathan Evans,D,28,1,1,3
Patrice Evr,D,37,0,0,4
Rio Ferdinand,D,29,1,0,0
Ezekiel Fryers,D,0,2,0,0
Phil Jones,D,25,4,1,2
Chris Smalling,D,14,5,1,0
Nemanja Vidic,D,6,0,0,0
Fabio,D,2,3,0,0
Michael Carrick,M,27,3,2,3
Tom Cleverley,M,5,5,0,1
Darren Fletcher,M,7,1,1,1
Ryan Giggs,M,14,11,2,8
Nani,M,24,5,8,10
Anderson,M,8,2,2,1
Park Ji-Sung,M,10,7,2,1
Paul Pogba,M,0,3,0,0
Paul Scholes,M,14,3,4,0
Antonio Valencia,M,22,5,4,13
Ashley Young,M,19,6,6,7
Dimitar Berbatov,F,5,7,7,0
Javier Hernndez,F,18,10,10,2
William Keane,F,0,1,0,0
Michael Owen,F,0,1,0,0
Wayne Rooney,F,32,2,27,4
Danny Welbeck,F,23,7,9,4
