David De Gea,G,37,0,0,0
Anders Lindegaard,G,1,0,0,0
Alexander Bttner,D,5,3,0,0
Rafael,D,18,1,0,1
Jonathan Evans,D,17,0,0,0
Patrice Evr,D,33,0,1,3
Rio Ferdinand,D,12,2,0,0
Phil Jones,D,26,0,1,2
Chris Smalling,D,21,4,1,0
Nemanja Vidic,D,23,2,0,0
Michael Carrick,M,26,3,1,0
Tom Cleverley,M,18,4,1,0
Marouane Fellaini,M,15,4,0,1
Darren Fletcher,M,9,3,0,0
Ryan Giggs,M,6,6,0,0
Adnan Januzaj,M,15,12,4,3
Shinji Kagawa,M,14,4,0,3
Juan Mata,M,25,3,6,6
Nani,M,7,4,0,0
Antonio Valencia,M,20,9,2,3
Ashley Young,M,13,7,2,1
Javier Hernndez,F,6,18,4,3
Tom Lawrence,F,1,0,0,0
Wayne Rooney,F,27,2,17,10
Danny Welbeck,F,15,10,9,1
James Wilson,F,1,0,2,0
Robin van Persie,F,18,3,12,3
