Year,Month,Type,Desc
2003,May,Trophy,Champions FA Cup
2004,May,Other,Undefeated Season in PL
2005,May,Trophy,Champions FA Cup
2006,May,Trophy,Runners up UEFA Champions League (First time in club's history)
2006,Jul,Other,New Stadium - Moved to the Emirates Stadium
2011,Sep,Ownership,Stan Kroenke becomes majority shareholder (67.02%)
2014,May,Trohpy,FA Cup
2015,May,Trophy,FA Cup
