Year,Team,Pos,GF,GA,GD,Pts
2016,Chelsea,9,55,48,7,48
2015,Chelsea,1,73,32,+41,87
2014,Chelsea,3,71,27,44,82
2013,Chelsea,3,75,39,36,75
2012,Chelsea,6,65,46,19,64
2011,Chelsea,2,69,33,36,71
2010,Chelsea,1,103,32,71,86
2009,Chelsea,3,68,24,44,83
2008,Chelsea,2,65,26,39,85
2007,Chelsea,2,64,24,40,83
2006,Chelsea,1,72,22,50,91
2005,Chelsea,1,72,15,57,95
2004,Chelsea,2,67,30,37,79
2003,Chelsea,4,68,38,30,67
