Year,Pos,Name,GoalsFor,GoalsAgainst,Diff,Pts
2007,1,Manchester United,80,22,58,87
2007,2,Chelsea,65,26,39,85
2007,3,Arsenal,74,31,43,83
2007,4,Liverpool,67,28,39,76
2007,5,Everton,55,33,22,65
2007,6,Aston Villa,71,51,20,60
2007,7,Blackburn,50,48,2,58
2007,8,Portsmouth,48,40,8,57
2007,9,Manchester City,45,53,8,55
2007,10,West Ham,42,50,8,49
2007,11,Tottenham,66,61,5,46
2007,12,Newcastle,45,65,20,43
2007,13,Middlesbrough,43,53,10,42
2007,14,Wigan,34,51,17,40
2007,15,Sunderland,36,59,23,39
2007,16,Bolton,36,54,18,37
2007,17,Fulham,38,60,22,36
2007,18,Reading,41,66,25,36
2007,19,Birmingham City,46,62,16,35
2007,20,Derby,20,89,69,11
