Year,Team,Pos,GF,GA,GD,Pts
2016,Arsenal,3,59,34,25,67
2015,Arsenal,3,71,36,35,75
2014,Arsenal,4,68,41,27,79
2013,Arsenal,4,72,37,35,73
2012,Arsenal,3,74,49,25,70
2011,Arsenal,4,72,43,29,68
2010,Arsenal,3,83,41,42,75
2009,Arsenal,4,68,37,31,72
2008,Arsenal,3,74,31,43,83
2007,Arsenal,4,63,35,28,68
2006,Arsenal,4,68,31,37,67
2005,Arsenal,2,87,36,51,83
2004,Arsenal,1,73,26,47,90
2003,Arsenal,2,85,42,43,78
