Year,Pos,Name,GoalsFor,GoalsAgainst,Diff,Pts
2006,1,Manchester United,83,27,56,89
2006,2,Chelsea,64,24,40,83
2006,3,Liverpool,57,27,30,68
2006,4,Arsenal,63,35,28,68
2006,5,Tottenham,57,54,3,60
2006,6,Everton,52,36,16,58
2006,7,Bolton,47,52,5,56
2006,8,Reading,52,47,5,55
2006,9,Portsmouth,45,42,3,54
2006,10,Blackburn,52,54,2,52
2006,11,Aston Villa,43,41,2,50
2006,12,Middlesbrough,44,49,5,46
2006,13,Newcastle,38,47,9,43
2006,14,Manchester City,29,44,15,42
2006,15,West Ham,35,59,24,41
2006,16,Fulham,38,60,22,39
2006,17,Wigan,37,59,22,38
2006,18,Sheffield United,32,55,23,38
2006,19,Charlton,34,60,26,34
2006,20,Watford,29,59,30,28
