Year,Pos,Name,GoalsFor,GoalsAgainst,Diff,Pts
2002,1,Manchester United,74,34,40,83
2002,2,Arsenal,85,42,43,78
2002,3,Newcastle,63,48,15,69
2002,4,Chelsea,68,38,30,67
2002,5,Liverpool,61,41,20,64
2002,6,Blackburn,52,43,9,60
2002,7,Everton,48,49,1,59
2002,8,Southampton,43,46,3,52
2002,9,Manchester City,47,54,7,51
2002,10,Tottenham,51,62,11,50
2002,11,Middlesbrough,48,44,4,49
2002,12,Charlton,45,56,11,49
2002,13,Birmingham,41,49,8,48
2002,14,Fulham,41,50,9,48
2002,15,Leeds,58,57,1,47
2002,16,Aston Villa,42,47,5,45
2002,17,Bolton,41,51,10,44
2002,18,West Ham,42,59,17,42
2002,19,West Brom,29,65,36,26
2002,20,Sunderland,21,65,44,19
