Year,Pos,Name,GoalsFor,GoalsAgainst,Diff,Pts
2009,1,Chelsea,103,32,71,86
2009,2,Manchester United,86,28,58,85
2009,3,Arsenal,83,41,42,75
2009,4,Tottenham,67,41,26,70
2009,5,Manchester City,73,45,28,67
2009,6,Aston Villa,52,39,13,64
2009,7,Liverpool,61,35,26,63
2009,8,Everton,60,49,11,61
2009,9,Birmingham City,38,47,9,50
2009,10,Blackburn,41,55,14,50
2009,11,Stoke,34,48,14,47
2009,12,Fulham,39,46,7,46
2009,13,Sunderland,48,56,8,44
2009,14,Bolton,42,67,25,39
2009,15,Wolverhamton,32,56,24,38
2009,16,Wigan,37,79,42,36
2009,17,West Ham,47,66,19,35
2009,18,Burnley,42,82,40,30
2009,19,Hull City,34,75,41,30
2009,20,Portsmouth,34,66,32,28
