Year,Pos,Team,GF,GA,GD,Pts
2016,8,Liverpool,59,48,11,55
2015,6,Liverpool,52,48,4,62
2014,2,Liverpool,101,50,51,84
2013,7,Liverpool,71,43,28,61
2012,8,Liverpool,47,40,7,52
2011,6,Liverpool,59,44,15,58
2010,7,Liverpool,61,35,26,63
2009,2,Liverpool,77,27,50,86
2008,4,Liverpool,67,28,39,76
2007,3,Liverpool,57,27,30,68
2006,3,Liverpool,57,25,32,82
2005,5,Liverpool,52,41,11,58
2004,4,Liverpool,55,37,18,60
2003,5,Liverpool,61,41,20,64
