Year,Pos,Name,GoalsFor,GoalsAgainst,Diff,Pts
2012,1,Manchester United,86,43,+43,89
2012,2,Manchester City,66,34,+32,78
2012,3,Chelsea,75,39,+36,75
2012,4,Arsenal,72,37,+35,73
2012,5,Tottenham,66,46,+20,72
2012,6,Everton,55,40,+15,63
2012,7,Liverpool,71,43,+28,61
2012,8,West Brom,53,57,-4,49
2012,9,Swansea,47,51,-4,46
2012,10,West Ham,45,53,-8,46
2012,11,Norwich,41,58,-17,44
2012,12,Fulham,50,60,-10,43
2012,13,Stoke,34,45,-11,42
2012,14,Southampton,49,60,-11,41
2012,15,Aston Villa,47,69,-22,41
2012,16,Newcastle,45,68,-23,41
2012,17,Sunderland,41,54,-13,39
2012,18,Wigan,47,73,-26,36
2012,19,Reading,43,73,-30,28
2012,20,QPR,30,60,-30,25
