Franco Di Santo,3000000,In,2007
Lassana Diarra,4000000,Out,2007
Branislav Ivanovic,9000000,In,2007
Glen Johnson,4000000,Out,2007
Nicolas Anelka,15000000,In,2007
Arjen Robben,25000000,Out,2007
Juliano Belletti,Signed,In,2007
Florent Malouda,13500000,In,2007
Claudio Pizarro,Free,In,2006
Robert Huth,6000000,Out,2006
Steven Sidwell,Free,In,2006
William Gallas,Swap,Out,2006
Ashley Cole,5000000,In,2006
Asier Del Horno,4800000,Out,2006
Khalid Boulahrouz,7000000,In,2006
Damien Duff,5000000,Out,2006
Henrique Hilario,Free,In,2006
Carlton Cole,3000000,Out,2006
Geremi,Free,Out,2006
John Obi Mikel,16000000,In,2005
Danny Hollands,Free,Out,2005
Ben Sahar,3200000,In,2005
Filipe Morais,Free,Out,2005
Andrei Shevchenko,30000000,In,2006
Jiri Jarosik,Signed,Out,2005
Salomon Kalou,8000000,In,2005
Dean Smith,Free,Out,2005
Michael Ballack,Free,In,2005
Eidur Gudjohnsen,8000000,Out,2005
Michael Essien,24400000,In,2005
Leonard Pidgeley,Free,Out,2005
Shaun Wright-Phillips,21000000,In,2005
Dean Furman,Free,Out,2005
Lassana Diarra,1000000,In,2005
Alexei Smertin,1000000,Out,2005
Scott Sinclair,300000,In,2005
Steven Watt,Free,Out,2005
Asier Del Horno,8000000,In,2005
Tiago,6500000,Out,2005
Sam Tillen,Free,Out,2005
Mateja Kezman,5300000,Out,2005
Juan Veron,Signed,Out,2005
Jiri Jarosik,3000000,In,2004
Scott Parker,6500000,Out,2004
Ricardo Carvalho,19850000,In,2004
Mikael Forssell,3000000,Out,2004
Didier Drogba,24000000,In,2004
Craig Rocastle,Free,Out,2004
Tiago,8000000,In,2004
Adrian Mutu,Free,Out,2004
Mateja Kezman,5000000,In,2004
Marco Ambrosio,Free,Out,2004
Celestine Babayaro,1000000,Out,2004
Alexis Nicolas,Free,Out,2004
Neil Sullivan,Free,Out,2004
Boudewijn Zenden,Free,Out,2004
Jesper Gronkjaer,2200000,Out,2004
Mario Melchiot,Free,Out,2004
Jimmy-Floyd Hasselbaink,Free,Out,2004
Paulo Ferreira,13200000,In,2003
Leon Knight,100000,Out,2003
Arjen Robben,12000000,In,2003
Ed de Goey,Free,Out,2003
Petr Cech,7000000,In,2003
Jean-Yves Anis,Free,Out,2003
Scott Parker,10000000,In,2003
Graeme Le Saux,Swap,Out,2003
Neil Sullivan,Free,In,2003
Rhys Evans,Free,Out,2003
Claude Makelele,16600000,In,2003
Jody Morris,Free,Out,2003
Hernan Crespo,16800000,In,2003
Gianfranco Zola,Free,Out,2003
Alexei Smertin,3450000,In,2003
Enrique De Lucas,Free,Out,2003
Adrian Mutu,15800000,In,2003
Rob Wolleaston,Free,Out,2003
Joe Cole,6600000,In,2003
Andy Ross,Free,Out,2003
Juan Veron,15000000,In,2003
Wayne Bridge,7000000,In,2003
Damien Duff,17000000,In,2003
Geremi,7000000,In,2003
Glen Johnson,6000000,In,2003
Craig Rocastle,Signed,In,2003
Yves Makaba-Makalamby,Free,In,2003
Jurgen Macho,Free,In,2002
Warren Cummings,Free,Out,2002
Marco Ambrosio,Free,In,2002
Ian Pulman,Free,Out,2002
Filipe Oliveira,500000,In,2002
Pat Baldwin,Free,Out,2002
Enrique De Lucas,Free,In,2002
Sam Parkin,Signed,Out,2002
Samuele Dalla Bona,1000000,Out,2002
Boudewijn Zenden,7500000,In,2001
Ryan Stevenson,Free,Out,2001
Emmanuel Petit,7500000,In,2001
Jon Harley,3500000,Out,2001
Frank Leboeuf,1200000,Out,2001
Stuart Reddington,20000,Out,2001
Bernard Lambourde,300000,Out,2001
Jay Richardson,Free,Out,2001
Neil Barrett,Free,Out,2001
Dennis Wise,1600000,Out,2001
Frank Lampard,11000000,In,2000
Courtney Pitt,Free,Out,2000
William Gallas,6200000,In,2000
Gustavo Poyet,Signed,Out,2000
Mark Bosnich,Free,In,2000
Stephen Broad,Free,Out,2000
Jesper Gronkjaer,7800000,In,2000
Tore-Andre Flo,14000000,Out,2000
Slavisa Jokanovic,1700000,In,2000
Luca Percassi,Signed,Out,2000
Winston Bogarde,Free,In,2000
Emerson Thome,4500000,Out,2000
Carlo Cudicini,Signed,In,2000
Nick Crittenden,Free,Out,2000
Dan Petrescu,1000000,Out,2000
Didier Deschamps,3700000,Out,2000
Chris Sutton,6000000,Out,2000
Neil Clement,100000,Out,2000
Sebastien Kneissl,Free,In,1999
Paul Hughes,Free,Out,1999
