Michael Essien,24400000,In
Leonard Pidgeley,Free,Out
Shaun Wright-Phillips,21000000,In
Dean Furman,Free,Out
Lassana Diarra,1000000,In
Alexei Smertin,1000000,Out
Scott Sinclair,300000,In
Steven Watt,Free,Out
Asier Del Horno,8000000,In
Tiago,6500000,Out
Sam Tillen,Free,Out
Mateja Kezman,5300000,Out
Juan Veron,Signed,Out
,,
Jiri Jarosik,3000000,In
Scott Parker,6500000,Out
Ricardo Carvalho,19850000,In
Mikael Forssell,3000000,Out
Didier Drogba,24000000,In
Craig Rocastle,Free,Out
Tiago,8000000,In
Adrian Mutu,Free,Out
Mateja Kezman,5000000,In
Marco Ambrosio,Free,Out
Celestine Babayaro,1000000,Out
Alexis Nicolas,Free,Out
Neil Sullivan,Free,Out
Boudewijn Zenden,Free,Out
Jesper Gronkjaer,2200000,Out
Mario Melchiot,Free,Out
Jimmy-Floyd Hasselbaink,Free,Out
,,
Paulo Ferreira,13200000,In
Leon Knight,100000,Out
Arjen Robben,12000000,In
Ed de Goey,Free,Out
Peter Cech,7000000,In
Jean-Yves Anis,Free,Out
Scott Parker,10000000,In
Graeme Le Saux,Swap,Out
Neil Sullivan,Free,In
Rhys Evans,Free,Out
Claude Makelele,16600000,In
Jody Morris,Free,Out
Hernan Crespo,16800000,In
Gianfranco Zola,Free,Out
Alexei Smertin,3450000,In
Enrique De Lucas,Free,Out
Adrian Mutu,15800000,In
Rob Wolleaston,Free,Out
Joe Cole,6600000,In
Andy Ross,Free,Out
Juan Veron,15000000,In
Wayne Bridge,7000000,In
Damien Duff,17000000,In
Geremi,7000000,In
Glen Johnson,6000000,In
Craig Rocastle,Signed,In
Yves Makaba-Makalamby,Free,In
,,
Jurgen Macho,Free,In
Warren Cummings,Free,Out
Marco Ambrosio,Free,In
Ian Pulman,Free,Out
Filipe Oliveira,500000,In
Pat Baldwin,Free,Out
Enrique De Lucas,Free,In
Sam Parkin,Signed,Out
Samuele Dalla Bona,1000000,Out
,,
Boudewijn Zenden,7500000,In
Ryan Stevenson,Free,Out
Emmanuel Petit,7500000,In
Jon Harley,3500000,Out
Frank Leboeuf,1200000,Out
Stuart Reddington,20000,Out
Bernard Lambourde,300000,Out
Jay Richardson,Free,Out
Neil Barrett,Free,Out
Dennis Wise,1600000,Out
,,
Frank Lampard,11000000,In
Courtney Pitt,Free,Out
William Gallas,6200000,In
Gustavo Poyet,Signed,Out
Mark Bosnich,Free,In
Stephen Broad,Free,Out
Jesper Gronkjaer,7800000,In
Tore-Andre Flo,14000000,Out
Slavisa Jokanovic,1700000,In
Luca Percassi,Signed,Out
Winston Bogarde,Free,In
Emerson Thome,4500000,Out
Carlo Cudicini,Signed,In
Nick Crittenden,Free,Out
Dan Petrescu,1000000,Out
Didier Deschamps,3700000,Out
Chris Sutton,6000000,Out
Neil Clement,100000,Out
,,
Sebastien Kneissl,Free,In
Paul Hughes,Free,Out
Mario Stanic,5600000,In
Joe Sheerin,Free,Out
Eidur Gudjohnsen,5000000,In
Bjarne Goldbaek,650000,Out
Jimmy-Floyd Hasselbaink,15000000,In
Steve Hampshire,Signed,Out
Rati Aleksidze,Signed,In
Michael Duberry,4500000,Out
Emerson Thome,2700000,In
Andy Myers,800000,Out
Stuart Reddington,Unknown,In
Eddie Newton,Free,Out
Gabriele Ambrosetti,3500000,In
Dmitri Kharin,Free,Out
Jes Hogh,300000,In
Brian Laudrup,2000000,Out
Chris Sutton,10000000,In
Didier Deschamps,3000000,In
Mario Melchiot,Free,In
,,
Bjarne Goldbaek,330000,In
David Lee,Free,Out
Samuele Dalla Bona,Unknown,In
Brian Laudrup,Unknown,Out
Luca Percassi,Signed,In
Frank Sinclair,2000000,Out
Mikael Forssell,Free,Out
,,
Albert Ferrer,2200000,In
Mark Hughes,650000,Out
Brian Laudrup,Free,In
Mark Stein,Free,Out
Pierluigi Casiraghi,5400000,In
Nick Colgan,Free,Out
Graeme Le Saux,7000000,In
Danny Granville,1600000,Out
Tore-Andre Flo,300000,In
Joe Dolan,Free,Out
Frode Grodas,250000,Out
Danny Potter,Free,Out
Jimmy Aggrey,Free,Out
Craig Burley,2500000,Out
,,
Gustavo Poyet,Free,In
Scott Minto,Free,Out
Bernard Lambourde,1500000,In
Terry Phelan,850000,Out
Ed de Goey,2250000,In
Gavin Peacock,800000,Out
Celestine Babayaro,2250000,In
John Spencer,2500000,Out
Danny Granville,300000,In
Russell Kelly,Free,Out
Gianfranco Zola,4500000,In
Anthony Barness,165000,Out
Frode Grodas,Free,In
,,
Frank Leboeuf,2500000,In
Paul Furlong,1500000,Out
Roberto Di Matteo,4900000,In
