Jermaine Pennant,4670000,Out
Stephen O'Donnell,Free,Out
Daniel Karbassiyoon,Free,Out
Stuart Taylor,250000,Out
Dean McDonald,Free,Out
Adam Birchall,Free,Out
Olafur Ingi Skulason,Free,Out
,,
Emmanuel Eboue,1000000,In
Chris Wright,Free,Out
Mathieu Flamini,1000000,In
Edu,Free,Out
Manuel Almunia,2500000,In
Dominic Shimmin,300000,Out
Matthew Hislop,Free,Out
Rami Shaaban,Free,Out
John Spicer,Signed,Out
Tomas Danilevicius,Signed,Out
Stephen Bradley,Unknown,Out
Sylvain Wiltord,Free,Out
Francis Jeffers,2600000,Out
Igor Stepanovs,Signed,Out
Nwankwo Kanu,Free,Out
Ray Parlour,Free,Out
Martin Keown,Free,Out
,,
Arturo Lupoli,Signed,In
Dean Shiels,Free,Out
Robin Van Persie,2750000,In
Giovanni Van Bronckhorst,3000000,Out
Jose Reyes,13000000,In
Alex Bailey,Free,Out
Gael Clichy,250000,In
Efstathios Tavlaridis,250000,Out
Johan Djourou,0,Out
Craig Holloway,Free,Out
Jens Lehmann,2000000,In
Ashley Probets,Free,Out
Philippe Senderos,2500000,In
Liam Chilvers,Free,Out
Cesc Fabregas,Free,In
Nicky Nicolau,Free,Out
Jerome Thomas,100000,Out
Moritz Volz,500000,Out
John Halls,Nominal,Out
Guillaume Warmuz,Free,Out
Oleg Luzhny,Free,Out
,,
Guillaume Warmuz,Signed,In
David Seaman,Free,Out
Rami Shaaban,Signed,In
Graham Barrett,Free,Out
Gilberto Silva,4500000,In
Ben Chorley,Free,Out
Pascal Cygan,2100000,In
Michael Gordon,Free,Out
Carlin Itonga,Free,Out
Matthew Rouse,Signed,Out
David Noble,Signed,Out
David Grondin,Free,Out
Matthew Upson,1000000,Out
Steven Sidwell,250000,Out
Jo Kuffour,Free,Out
Richard Wright,3500000,Out
Rohan Ricketts,Free,Out
Alex Manninger,960000,Out
,,
Kolo Toure,150000,In
Greg Lincoln,Signed,Out
Efstathios Tavlaridis,600000,In
Sylvinho,3500000,Out
Richard Wright,6000000,In
Guillaume Norbert,Free,Out
Sol Campbell,Free,In
Guy Demel,194000,Out
Giovanni Van Bronckhorst,8500000,In
Stefan Malz,580000,Out
Nelson Vivas,Free,Out
,,
Francis Jeffers,8000000,In
Nelson Vivas,Free,Out
Juan,Signed,In
James Harper,Signed,Out
Edu,6000000,In
Christopher Wreh,Signed,Out
Tomas Danilevicius,1000000,In
Paolo Vernazza,350000,Out
