Harry Kewell,Free,Out,2008
John Arne Riise,4000000,Out,2008
Peter Crouch,10000000,Out,2008
Philipp Degen,Free,In,2008
Robbie Keane,19000000,In,2008
Robbie Keane,12000000,Out,2008
Scott Carson,3250000,Out,2008
Steve Finnan,1000000,Out,2008
Vitor Flora,Signed,In,2008
Andriy Voronin,Free,In,2007
Boudewijn Zenden,Free,Out,2007
Charles-Hubert Itandje,Signed,In,2007
Craig Bellamy,7500000,Out,2007
Damien Plessis,Signed,In,2007
Djibril Cisse,6000000,Out,2007
Emiliano Insua,1300000,In,2007
Fernando Torres,26500000,In,2007
Gabriel Paletta,Signed,Out,2007
Javier Mascherano,17100000,In,2007
Jerzy Dudek,Free,Out,2007
Lee Peltier,Signed,Out,2007
Luis Garcia,4000000,Out,2007
Mark Gonzalez,4200000,Out,2007
Martin Skrtel,6500000,In,2007
Mohamed Sissoko,8200000,Out,2007
Robbie Fowler,Free,Out,2007
Ryan Babel,11500000,In,2007
Sebastian Leto,1850000,In,2007
Yossi Benayoun,5000000,In,2007
Alvaro Arbeloa,2640000,In,2006
Antonio Barragan,680000,Out,2006
Carl Medjani,Signed,Out,2006
Chris Kirkland,3000000,Out,2006
Danny O'Donnell,100000,Out,2006
Darren Potter,250000,Out,2006
David Mannix,Signed,Out,2006
David Raven,Free,Out,2006
Dietmar Hamann,400000,Out,2006
Dirk Kuyt,9000000,In,2006
Djimi Traore,2000000,Out,2006
Fabio Aurelio,Free,Out,2006
Florent Sinama Pongolle,2700000,Out,2006
Francisco Manuel Duran,Signed,In,2006
Gabriel Paletta,2000000,In,2006
Jan Kromkamp,1500000,Out,2006
Javier Mascherano,1500000,In,2006
Jermaine Pennant,6700000,In,2006
Lucas Leiva,6000000,In,2006
Nabil El Zhar,200000,In,2006
Neil Mellor,250000,Out,2006
Ramon Calliste,Free,Out,2006
Robbie Foy,Free,Out,2006
Salif Diao,Free,Out,2006
Stephen Warnock,1500000,Out,2006
Antonio Barragan,240000,In,2005
Antonio Nunez,Signed,Out,2005
Boudewijn Zenden,Free,In,2005
Bruno Cheyrou,Signed,Out,2005
Calum Woods,Signed,Out,2005
Conal Platt,Free,Out,2005
Craig Bellamy,6000000,In,2005
Daniel Agger,5800000,In,2005
David Martin,Signed,In,2005
Fernando Morientes,3000000,Out,2005
Godwin Antwi,Signed,In,2005
