Emile Mpenza,NA,Out,2008
Sam Williamson,NA,Out,2008
Benjani,3870000,In,2007
Ishmael Miller,900000,Out,2007
Felipe Caicedo,5200000,In,2007
Ousmane Dabo,NA,Out,2007
Valeri Bojinov,5750000,In,2007
Marc Laird,NA,Out,2007
Elano,8000000,In,2007
Nathan D'Laryea,NA,Out,2007
Vedran Corluka,8000000,In,2007
Stephen Jordan,NA,Out,2007
Javier Garrido,1500000,In,2007
Trevor Sinclair,NA,Out,2007
Martin Petrov,4700000,In,2007
Joey Barton,5800000,Out,2007
Geovanni,NA,In,2007
Rolando Bianchi,8800000,Out,2007
Michael Ball,NA,In,2006
Nicky Weaver,NA,Out,2006
Andreas Isaksson,2000000,In,2006
Hatem Trabelsi,NA,In,2006
Sylvain Distin,NA,Out,2006
Bernardo Corradi,NA,In,2006
Ben Thatcher,500000,Out,2006
Dietmar Hamann,400000,In,2006
Antoine Sibierski,2000000,Out,2006
Andy Cole,500000,Out,2006
David James,1200000,Out,2006
Willo Flood,NA,Out,2006
Lee Croft,600000,Out,2006
Bradley Wright-Phillips,NA,Out,2006
Ousmane Dabo,NA,In,2005
Mikkel Bischoff,NA,Out,2005
Paul Dickov,NA,In,2005
David Sommeil,NA,Out,2005
Joe Hart,1500000,In,2005
Jonathan D'Laryea,NA,Out,2005
Matthew Mills,250000,In,2005
Robbie Fowler,NA,Out,2005
Georgios Samaras,6000000,In,2005
Danny Warrender,NA,Out,2005
Darius Vassell,2000000,In,2005
Carlos Logan,NA,Out,2005
Andy Cole,NA,In,2005
Shaun Wright-Phillips,21000000,Out,2005
Christian Negouai,NA,Out,2005
Ronald Waterreus,NA,In,2004
Jon Macken,NA,Out,2004
Danny Mills,NA,In,2004
Patrick McCarthy,100000,Out,2004
Ronald Waterreus,NA,Out,2004
Nicolas Anelka,7000000,Out,2004
Paulo Wanchope,500000,Out,2004
Kieran Westwood,NA,Out,2004
Craig Davies,NA,Out,2004
Michael Tarnat,NA,Out,2004
Geert De Vlieger,NA,In,2003
Vicente Matias Vuoso,NA,Out,2003
Ben Thatcher,100000,In,2003
Glenn Whelan,NA,Out,2003
David James,2000000,In,2003
Danny Tiatto,NA,Out,2003
Steve McManaman,NA,In,2003
Stephen Elliott,125000,Out,2003
Claudio Reyna,2500000,In,2003
Chris Shuker,NA,Out,2003
Antoine Sibierski,700000,In,2003
Eyal Berkovic,NA,Out,2003
Paul Bosvelt,2000000,In,2003
Darren Huckerby,750000,Out,2003
Trevor Sinclair,2500000,In,2003
Lucien Mettomo,500000,Out,2003
Paul Ritchie,NA,Out,2003
Kevin Horlock,300000,Out,2003
Carlo Nash,NA,Out,2003
Jeff Whitley,NA,Out,2003
Shaun Goater,500000,Out,2003
Brian Murphy,NA,Out,2003
Niclas Jensen,750000,Out,2003
Michael Tarnat,NA,In,2002
Steve Howey,NA,Out,2002
David Seaman,NA,In,2002
Tyrone Loran,NA,Out,2002
Robbie Fowler,6000000,In,2002
Rhys Day,NA,Out,2002
David Sommeil,3500000,In,2002
Laurent Charvet,NA,Out,2002
