David James,G,38,0,0,0
Sylvain Distin,D,31,0,0,1
Richard Dunne,D,31,1,3,0
Willo Flood,D,1,4,0,0
Sun Jihai,D,16,13,0,0
Danny Mills,D,18,0,1,0
Matthew Mills,D,0,1,0,0
Nedum Onuoha,D,8,3,0,0
Micah Richards,D,11,2,0,1
Ben Thatcher,D,18,0,0,0
Joey Barton,M,31,0,6,5
Lee Croft,M,4,17,1,0
Stephen Ireland,M,13,11,0,2
Stephen Jordan,M,18,0,0,0
Claudio Reyna,M,22,0,1,1
Antoine Sibierski,M,12,12,2,1
Trevor Sinclair,M,29,2,3,4
Andrew Cole,F,20,2,9,7
Ishmael Miller,F,0,1,0,0
Giorgos Samaras,F,10,4,4,1
Darius Vassell,F,36,0,8,6
