Year,Pos,Name,GoalsFor,GoalsAgainst,Diff,Pts
2004,1,Chelsea,72,15,57,95
2004,2,Arsenal,87,36,51,83
2004,3,Manchester United,58,26,32,77
2004,4,Everton,45,46,1,61
2004,5,Liverpool,52,41,11,58
2004,6,Bolton,49,44,5,58
2004,7,Middlesbrough,53,46,7,55
2004,8,Manchester City,47,39,8,52
2004,9,Tottenham,47,41,6,52
2004,10,Aston Villa,45,52,7,47
2004,11,Charlton,42,58,16,46
2004,12,Birmingham City,40,46,6,45
2004,13,Fulham,52,60,8,44
2004,14,Newcastle,47,57,10,44
2004,15,Blackburn,32,43,11,42
2004,16,Portsmouth,43,59,16,39
2004,17,West Brom,36,61,25,34
2004,18,Crystal Palace,41,62,21,33
2004,19,Norwich,42,77,35,33
2004,20,Southampton,45,66,21,32
