Year,Pos,Name,GoalsFor,GoalsAgainst,Diff,Pts
2013,1,Manchester City,102,37,+65,86
2013,2,Liverpool,101,50,+51,84
2013,3,Chelsea,71,27,+44,82
2013,4,Arsenal,68,41,+27,79
2013,5,Everton,61,39,+22,72
2013,6,Tottenham,55,51,+4,69
2013,7,Manchester United,64,43,+21,64
2013,8,Southampton,54,46,+8,56
2013,9,Stoke,45,52,-7,50
2013,10,Newcastle,43,59,-16,49
2013,11,Crystal Palace,33,48,-15,45
2013,12,Swansea,54,54,42
2013,13,West Ham,40,51,-11,40
2013,14,Sunderland,41,60,-19,38
2013,15,Aston Villa,39,61,-22,38
2013,16,Hull City,38,53,-15,37
2013,17,West Brom,43,59,-16,36
2013,18,Norwich,28,62,-34,33
2013,19,Fulham,40,85,-45,32
2013,20,Cardiff,32,74,-42,30
