Year,Pos,Name,GoalsFor,GoalsAgainst,Diff,Pts
2005,1,Chelsea,72,22,50,91
2005,2,Manchester United,72,34,38,83
2005,3,Liverpool,57,25,32,82
2005,4,Arsenal,68,31,37,67
2005,5,Tottenham,53,38,15,65
2005,6,Blackburn,51,42,9,63
2005,7,Newcastle,47,42,5,58
2005,8,Bolton,49,41,8,56
2005,9,West Ham,52,55,3,55
2005,10,Wigan,45,52,7,51
2005,11,Everton,34,49,15,50
2005,12,Fulham,48,58,10,48
2005,13,Charlton,41,55,14,47
2005,14,Middlesbrough,48,58,10,45
2005,15,Manchester City,43,48,5,43
2005,16,Aston Villa,42,55,13,42
2005,17,Portsmouth,37,62,25,38
2005,18,Birmingham City,28,50,22,34
2005,19,West Brom,31,58,27,30
2005,20,Sunderland,26,69,43,15
