Year,Pos,Name,GoalsFor,GoalsAgainst,Diff,Pts
2003,1,Arsenal,73,26,47,90
2003,2,Chelsea,67,30,37,79
2003,3,Manchester United,64,35,29,75
2003,4,Liverpool,55,37,18,60
2003,5,Newcastle,52,40,12,56
2003,6,Aston Villa,48,44,4,56
2003,7,Charlton,51,51,53
2003,8,Bolton,48,56,8,53
2003,9,Fulham,52,46,6,52
2003,10,Birmingham City,43,48,5,50
2003,11,Middlesbrough,44,52,8,48
2003,12,Southampton,44,45,1,47
2003,13,Portsmouth,47,54,7,45
2003,14,Tottenham,47,57,10,45
2003,15,Blackburn,51,59,8,44
2003,16,Manchester City,55,54,1,41
2003,17,Everton,45,57,12,39
2003,18,Leicester City,48,65,17,33
2003,19,Leeds,40,79,39,33
2003,20,Wolverhampton,38,77,39,33
