Year,Pos,Name,GoalsFor,GoalsAgainst,Diff,Pts
2010,1,Manchester United,78,37,+41,80
2010,2,Chelsea,69,33,+36,71
2010,3,Manchester City,60,33,+27,71
2010,4,Arsenal,72,43,+29,68
2010,5,Tottenham,55,46,+9,62
2010,6,Liverpool,59,44,+15,58
2010,7,Everton,51,45,+6,54
2010,8,Fulham,49,43,+6,49
2010,9,Aston Villa,48,59,-11,48
2010,10,Sunderland,45,56,-11,47
2010,11,West Brom,56,71,-15,47
2010,12,Newcastle,56,57,-1,46
2010,13,Stoke,46,48,-2,46
2010,14,Bolton,52,56,-4,46
2010,15,Blackburn,46,59,-13,43
2010,16,Wigan,40,61,-21,42
2010,17,Wolverhampton,46,66,-20,40
2010,18,Birmingham,37,58,-21,39
2010,19,Blackpool,55,78,-23,39
2010,20,West Ham,43,70,-27,33
