Tim Howard,G,38,0,0,0
Jan Mucha,G,0,0,0,0
Iain Turner,G,--,--,0,0
Leighton Baines,D,38,0,5,11
Moses Barnett,D,--,--,--,--
Jake Bidwell,D,--,--,--,--
Eric Dier,D,--,--,--,--
Sylvain Distin,D,38,0,2,0
Shane Duffy,D,0,0,0,0
Luke Garbutt,D,--,--,--,--
Johan Hammar,D,--,--,--,--
John Heitinga,D,23,4,1,0
Tony Hibbert,D,17,3,0,0
Phil Jagielka,D,31,2,1,0
Shkodran Mustafi,D,0,0,0,0
Aristote Nsiala,D,0,0,0,0
Joseph Yobo,D,--,--,--,--
Araz Abdullayev,M,--,--,--,--
Hope Akpan,M,--,--,--,--
Mikel Arteta,M,29,0,3,5
Ross Barkley,M,0,0,0,0
Diniyar Bilyaletdinov,M,10,16,2,2
Tim Cahill,M,22,5,9,3
Seamus Coleman,M,25,9,4,1
Nathan Craig,M,--,--,--,--
Tom Donegan,M,--,--,--,--
Marouane Fellaini,M,19,1,1,2
Adam Forshaw,M,0,1,0,0
Phil Neville,M,31,0,1,1
Femi Orenuga,M,--,--,--,--
Leon Osman,M,20,6,4,5
Jack Rodwell,M,14,10,0,1
James  Wallace,M,--,--,--,--
Yakubu Aiyegbeni,F,7,7,1,1
Victor Anichebe,F,8,8,0,0
Jose Baxter,F,0,1,0,0
Jermaine Beckford,F,14,18,8,2
Magaye Gueye,F,2,3,0,1
Conor McAleny,F,0,0,0,0
Joo Silva,F,--,--,--,--
Louis Saha,F,14,8,7,0
James Vaughan,F,0,1,0,0
Apostolos Vellios,F,0,3,0,0
