Adam Davies,G,--,--,0,0
Marcus Hahnemann,G,--,--,0,0
Tim Howard,G,38,0,0,0
Jan Mucha,G,0,0,0,0
Leighton Baines,D,33,0,4,2
Moses Barnett,D,--,--,--,--
Eric Dier,D,--,--,--,--
Sylvain Distin,D,24,3,0,1
Shane Duffy,D,2,2,0,0
Johan Hammar,D,--,--,--,--
John Heitinga,D,29,1,1,0
Tony Hibbert,D,31,1,0,3
Phil Jagielka,D,29,1,2,1
Ross Barkley,M,2,4,0,0
Tim Cahill,M,27,8,2,2
Seamus Coleman,M,14,4,0,0
Royston Drenthe,M,10,11,3,5
Marouane Fellaini,M,31,3,3,4
Darron Gibson,M,12,0,1,2
Phil Neville,M,24,3,0,0
Femi Orenuga,M,--,--,--,--
Leon Osman,M,28,2,5,1
Steven Pienaar,M,14,2,4,7
Jack Rodwell,M,11,3,2,1
Victor Anichebe,F,5,7,5,0
Jose Baxter,F,0,1,0,0
Magaye Gueye,F,3,14,1,2
Nikica Jelavic,F,10,3,9,1
James McFadden,F,2,5,0,0
Joo Silva,F,--,--,--,--
Denis Stracqualursi,F,7,14,1,1
Apostolos Vellios,F,2,11,3,0
